SubstrateID,Trial,SubCategory,TotalVolume,SoilVolume,PoreVolume,Porosity
#7,NONE,Natural,1.125,0.328,0.797,70.84444444
#21,NONE,Natural,1.798,0.868,0.93,51.72413793
#12,NONE,Natural,1.827,0.723,1.104,60.42692939
14.Oct.18_#3,NONE,Natural,1.582,0.755,0.827,52.27560051
#16,NONE,Natural,1.854,0.927,0.927,50
#3,NONE,Natural,0.349,0.167,0.182,52.14899713
#2,NONE,Natural,1.083,0.559,0.524,48.38411819
#4,NONE,Natural,1.515,0.716,0.799,52.73927393
#X,NONE,Natural,0.476,0.272,0.204,42.85714286
#X1,NONE,Natural,1.177,0.467,0.71,60.32285472
I.1,NONE,Sub I,2,1.102,0.898,44.9
I.2,NONE,Sub I,2,1.153,0.847,42.35
I.3,NONE,Sub I,2,1.13,0.87,43.5
I.4,NONE,Sub I,2,1.157,0.843,42.15
I.5,NONE,Sub I,2,1.19,0.81,40.5
I.6,NONE,Sub I,2,1.169,0.831,41.55
I.7,NONE,Sub I,2,1.205,0.795,39.75
I.8,NONE,Sub I,2,1.161,0.839,41.95
I.9,NONE,Sub I,2,1.187,0.813,40.65
I.10,NONE,Sub I,2,1.16,0.84,42
II.1,NONE,Sub II,2,1.031,0.969,48.45
II.2,NONE,Sub II,2,0.942,1.058,52.9
II.3,NONE,Sub II,2,0.995,1.005,50.25
II.4,NONE,Sub II,2,0.961,1.039,51.95
II.5,NONE,Sub II,2,1.095,0.905,45.25
II.6,NONE,Sub II,2,0.991,1.009,50.45
II.7,NONE,Sub II,2,1.019,0.981,49.05
II.8,NONE,Sub II,2,1.064,0.936,46.8
II.9,NONE,Sub II,2,1.058,0.942,47.1
II.10,NONE,Sub II,2,1.026,0.974,48.7
15,1,Built,1.1665,0.6164,0.5501,47.15816545
21,1,Built,0.3125,0.1327,0.1798,57.536
20,1,Built,1.9963,1.1324,0.8639,43.27505886
18,2,Built,1.1644,0.5877,0.5767,49.52765373
18,1,Built,1.5874,0.95,0.6374,40.15371047
17,2,Built,0.86,0.4901,0.3699,43.01162791
17,1,Built,0.5501,0.2352,0.3149,57.24413743
14,2,Built,0.5081,0.2201,0.288,56.68175556
14,1,Built,2.4207,1.471,0.9497,39.23245342
13,2,Built,1.1154,0.6025,0.5129,45.98350368
13,1,Built,1.7383,1.0761,0.6622,38.09469021
12,2,Built,3.4579,1.9046,1.5533,44.92032737
7,1,Built,0.3471,0.199,0.1481,42.66781907
12,1,Built,4.0468,2.4314,1.6154,39.91795987
3,2,Built,0.9817,0.5645,0.4172,42.49770806
11,1,Built,1.0164,0.5583,0.4581,45.07083825
2,1,Built,1.0248,0.4566,0.5682,55.44496487
8,1,Built,0.6797,0.3545,0.3252,47.84463734
4,1,Built,0.232,0.0814,0.1506,64.9137931
1,1,Built,0.3258,0.1702,0.1556,47.75936157
7,2,Built,0.3437,0.1207,0.223,64.88216468
3,1,Built,0.3551,0.0886,0.2665,75.04928189
