"Colony","Trial","TrialNumber","Day","Area","Length","Nest.Area","HumLevel","Number.Colony","Number.Queens","Salt","SubstrateISide","StartWtI","UsedWtI","StartWtII","UsedWtII","CollWallWt","Volume","Density","PropIIWall","PropIWall","Humidity","Temperature","Std.DevHum","Std.DevTemp","FullHumidity","FullTemperature","FullStd.DevHum","FullStd.DevTemp","ColonyMember"
1,1,1,10,217.829,31.0935,6659.982,"High",91,2,"K2SO4","R",10.00331,9.96027,10.00231,9.74923,0.27855,326.7435,0.000852503569313544,0.854653518843708,0.145346481156292,96.8113630952381,20.5908035714286,1.00459373492269,0.562334353814298,97.3543223021583,20.563618705036,1.06723644696187,0.481563522757663,"Brood"
2,1,2,10,680.5483333,52.617,4200.087,"High",126,1,"KCl","R",10.00176,9.81924,10.00758,8.75677,1.32984,1020.82249995,0.00130271423294954,0.872660168977137,0.127339831022863,84.5918707692308,20.2787538461538,1.20649681198167,0.416611404882371,78.6078156732892,20.3264668874172,16.3530359754236,0.553146193204872,"Brood"
3,1,1,10,326.1155,43.8435,7118.275,"High",67.33333333,1,"NaAmm","L",10.0081,9.9055,10.0064,9.62142,0.44652,489.17325,0.000912805432431148,0.78957299314984,0.21042700685016,99.9951900170165,20.5516642087351,0.0554896752076773,0.410376836879475,99.9832950819672,20.4306129140181,0.145689947568544,0.468618373270018,"Brood"
4,1,1,10,0,0,2371.857,"Low",50,2,"LiCl","L",10.00569,9.96981,10.0001,9.89458,0.12475,0,0,0.746251768033953,0.253748231966047,13.5950095419847,20.7234790076336,0.175143857573364,0.45843206629283,13.802815565032,20.6213752665245,0.356917173625725,0.462910533602041,"Brood"
5,1,1,10,0,0,6570,"Low",55,4,"MgCl","L",10.00716,9.99988,10.00146,9.96565,0.02892,0,0,0.831051288001826,0.168948711998174,36.2249367088608,20.7167392405063,0.495271769259756,0.521504758902349,36.2446002554278,20.6489770114943,0.524574168893219,0.453914113559774,"Brood"
7,1,2,10,1701.136,145.168,1642.156,"High",72,1,"NaAmm","L",10.0036,9.8435,10.00055,9.7473,0.2527,2551.704,9.90318626298348e-05,0.612676908189187,0.387323091810813,99.9661900489396,20.2565399673736,0.216443314384418,0.491938194675812,99.9832950819672,20.4306129140181,0.145689947568544,0.468618373270018,"Brood"
8,1,3,10,383.596,48.325,1516.824,"Low",60,4,"P2O5","R",10.0027,9.5793,10.0022,9.48619,0.88881,575.394,0.00154469806775879,0.549291576627883,0.450708423372117,1.7907908045977,20.2227494252874,0.978020560369316,0.494704295810586,5.79447848317,20.3826808691947,11.8767040783803,0.518685806521687,"Brood"
9,1,1,10,0,0,6570,"High",2,8,"KCl","R",10.00412,10.00109,10.00475,9.99491,0.00301,0,0,0.764568764568697,0.235431235431303,75.2604526678141,20.353156626506,19.6256860793736,0.615202053641852,78.6078156732892,20.3264668874172,16.3530359754236,0.553146193204872,"Brood"
10,1,1,10,0,0,6570,"Med",2.666666667,1,"MgAce","R",10.00653,9.98757,10.00475,9.99624,0,0,0,0.309792500910069,0.690207499089931,58.2857321428571,20.4534839285714,15.3392819729321,0.653060807540843,58.2857321428571,20.4534839285714,15.3392819729321,0.653060807540843,"Brood"
11,1,2,10,882.606,82.982,3034.717,"Low",12,1,"MgCl","L",10.00616,9.4313,10.00498,9.2996,1.2011,1323.909,0.000907237582039249,0.550974817221771,0.449025182778229,36.264618556701,20.5799922680412,0.552736073353768,0.360542481653706,36.2446002554278,20.6489770114943,0.524574168893219,0.453914113559774,"Brood"
